StringNum	sourceLang	targetLang	sourceString	targetString
92	en	it	As the situation is rapidly evolving, the final scope and severity of the outbreak remain to be determined.	Siccome la situazione è in rapida evoluzione, la portata e la gravità dell’epidemia sono ancora da stabilire.
93	en	it	On February 11, 2020, a multi-center study on 8,866 patients including 4,021 confirmed COVID-19 patients presented a more updated illustration of the epidemic as follows (https://mp.weixin.qq.com/s/ UlBi-HX_rHPXa1qHA2bhdA).	L’11 febbraio 2020, uno studio multicentrico su 8.866 pazienti che ha compreso 4,021 pazienti COVID-19 confermati, presentava la seguente illustrazione più aggiornata dell’epidemia (https://mp.weixin.qq.com/UlBi-HX_rHPXa1qHA2bhdA).
94	en	it	SARS-CoV-2 infected people of all ages, but mainly at the age of 30-65.	Il SARS-CoV-2 ha infettato persone di tutte l’età, ma principalmente fra i 30 e i 65 anni.
95	en	it	Almost half (47.7%) of the infected individuals were over 50 years old, very few were under 20, and only 14 infected individuals were under the age of 10.	Circa la metà (47,7%) degli individui infetti aveva più di 50 anni, pochissimi ne avevano meno di 20, e solo 14 avevano meno di 10 anni.
96	en	it	SARS-CoV-2 infected more men (0.31/100,000) than women (0.27/100,000).	Il SARS-CoV-2 ha infettato più gli uomini (0,31/100.000) che le donne (0,27/100.000).
97	en	it	COVID-19 expanded in clusters mainly in and around Hubei.	Il COVID-19 si è espanso per cluster principalmente nello Hubei e nelle sue vicinanze.
98	en	it	COVID-19 took an average of 5 (2-9) days from onset to diagnosis.	Il COVID-19 impiegava in media 5 (2-9) giorni dall’esordio alla diagnosi.
99	en	it	The average incubation period was 4.8 (3.0-7.2) days.	Il periodo di incubazione medio era di 4,8 (3,0-7,2) giorni.
100	en	it	The average time from onset to death was 9.5 (4.8-13) days.	Il periodo medio tra l’esordio e il decesso era di 9,5 (4,8-13) giorni.
101	en	it	The basic reproductive number (R0) was 3.77 (95% CI: 3.51-4.05), and the adjusted R0 was 2.23-4.82.	Il numero di riproduzione di base (R0) era di 3,77 (95%: CI: 3,51-4,05), e il R0 aggiustato era di 2,23-4,82.
102	en	it	The number of infected people increased exponentially before 23 Jan. 2020, matching the time of massive transportation before the Spring Festival in China.	Il numero di persone infette è aumentato esponenzialmente prima del 23 gennaio 2020, coincidendo con il periodo di traffico massiccio prima della festa di primavera in Cina.
103	en	it	The mortality of patients with confirmed cases was 1.44% (95% CI: 1.10-1.86%), and the adjusted mortality of all the patients was 3.06% (95% CI: 2.02-4.59%).	La mortalità dei pazienti con casi confermati era del 1,44% (95% CI: 1,10-1,86%), e la mortalità aggiustata di tutti i pazienti era del 3,06% (95% CI: 2,02-4,59%).
104	en	it	Three major risk factors for COVID-19 were sex (male), age (?60), and severe pneumonia.	I tre principali fattori di rischio per il COVID-19 erano il sesso (maschile), l’età (?60) e polmonite grave.
105	en	it	CoVs are a subfamily of large and enveloped viruses containing a single strand of sense RNA.	I CoV sono una sottofamiglia di grandi virus capsulati contenenti un unico di filamento di RNA a senso.
106	en	it	They can be divided into four genera, i.e., alpha, beta, gamma, and delta, of which alpha- and beta-CoVs are known to infect humans.	Essi possono essere divisi in quattro generi, ossia alfa, beta, gamma e delta, tra i quali gli alfa e i betacoronavirus sono noti per infettare gli esseri umani.
107	en	it	The envelope spike (S) glycoprotein binds to its cellular receptors angiotensin-converting enzyme 2 (ACE2) and dipeptidyl peptidase 4 (DPP4) for SARS-CoV and MERS-CoV, respectively, and then membrane fusion occurs.	La glicoproteina spike (S) del capside si lega ai suoi recettori cellulari dell’enzima 2 convertitore dell’angiotensina (ACE2) e della dipeptidil-peptidasi IV (DPP-4), rispettivamente per il SARS-CoV e il MERS-CoV, dopodiché si verifica la fusione delle membrane.
108	en	it	"The viral RNA genome is released into the cytoplasm; after replication of the viral genome, genomic RNA accompanied by envelope glycoproteins and nucleocapsid proteins forms virion-containing vesicles, which then fuse with the plasma membrane to release the virus."	"Il genoma dell’RNA virale è rilasciato nel citoplasma; dopo la replicazione del genoma virale, l’RNA genomico, insieme alle glicoproteine del capside e alle proteine nucleocapside, forma vescicole contenenti virioni, che poi si fondono con la membrana plasmatica per rilasciare il virus."
109	en	it	The first genomic sequence of SARS-CoV-2 was reported on January 10, 2020.	La prima sequenza genomica del SARS-CoV-2 è stata pubblicata il 10 gennaio 2020.
110	en	it	SARS-CoV-2 was found to be a new type of beta-CoV with more than 99.98% genetic identity among 10 sequenced samples collected from the original site of the outbreak, the Huanan Seafood Market in Wuhan.	È stato scoperto che il SARS-CoV-2 è un nuovo tipo di beta-CoV con più del 99,98% di identità genetica in 10 campioni sequenziati raccolti dal luogo di origine dell’epidemia, il mercato del pesce Huanan di Wuhan.
111	en	it	SARS-CoV-2 is genetically more similar to SARS-CoV than to MERS-CoV.	Dal punto di vista genetico, il SARS-CoV-2 è più simile al SARS-CoV che al MERS-CoV.
112	en	it	Through transmission electron microscopy, SARS-CoV-2 particles were found in ultrathin sections of human airway epithelium.	Attraverso la microscopia elettronica a trasmissione, le particelle di SARS-CoV-2 sono state rinvenute in sezioni ultrasottili dell’epitelio respiratorio umano.
113	en	it	Human ACE2 was found to be a receptor for SARS-CoV-2 as well as SARS-CoV.	È stato riscontrato che l’ACE2 umano è un recettore per il SARS-CoV-2, così come per il SARS-CoV.
114	en	it	However, the S protein of SARS-CoV-2 binds to human ACE2 more weakly than that of SARS-CoV, which is coincident with the fact that SARS-CoV-2 causes less severe infection in patients than SARS-CoV.	Tuttavia, la proteina S del SARS-CoV-2 si lega all’ACE2 umano più debolmente del SARS-CoV, il che coincide con il fatto che il SARS-CoV-2 causi infezioni meno gravi nei pazienti rispetto al SARS-CoV.
115	en	it	SARS-CoV-2 can also form a novel short protein encoded by orf3b and a secreted protein encoded by orf8.	Il SARS-CoV-2 può anche formare una nuova proteina corta codificata dalla orf3b e una proteina secreta codificata dalla orf8.
116	en	it	"The orf3b of SARS-CoV-2 may play a role in the viral pathogenicity and inhibit the expression of IFN?; however, orf8 does not contain any known functional domain or motif."	"La orf3b del SARS-CoV-2 potrebbe rivestire un ruolo nella patogenicità virale e inibire l’espressione di IFN?; tuttavia, orf8 non contiene alcun dominio o motivo funzionale conosciuto."
117	en	it	On February 18, 2020, Zhou, et al., reported the cryo-EM structure of the full-length human ACE2 at 2.9 Å resolution in complex with the amino acid transporter B0AT1.	Il 18 febbraio 2020, Zhou, et al. hanno pubblicato la struttura a crioscopia elettronica dell’ACE2 umano in tutta la sua lunghezza a risoluzione a 2,9 Å in complesso con il trasportatore di aminoacidi B0AT1.
118	en	it	They found that the complex, which had open and closed conformations, was assembled as a dimer and the ACE2-B0AT1 complex can bind two S proteins, which provides evidence for CoV recognition and infection.	Hanno riscontrato che il complesso, che presenta conformazioni chiuse e aperte, è stato assemblato come dimero e che il complesso ACE2-B0AT1 può legare due proteine S, il che fornisce una prova del riconoscimento e dell’infezione del CoV.
119	en	it	B0AT1 may become a therapeutic target for drug screening to suppress SARS-CoV-2 infection.	B0AT1 potrebbe diventare un bersaglio terapeutico per lo studio di farmaci per sopprimere l’infezione da SARS-CoV-2.
120	en	it	The origin and immediate host	L'origine e l'ospite immediato
121	en	it	It has been known that both SARS-CoV and MERS-CoV originated from bats and were transmitted to humans via civet cats and camels, respectively.	È risaputo che sia il SARS-CoV che il MERS-CoV hanno avuto origine dai pipistrelli e sono stati trasmessi all’uomo tramite zibetti e cammelli, rispettivamente.
122	en	it	Through a phylogenetic comparison of SARS-CoV-2 with other CoVs, bats were considered the native host of SARS-CoV-2 as the new virus is 96% identical to two SARS-like CoVs from bats called bat-SL-CoVZX45 and bat-SL-CoVZX21.	Attraverso un confronto filogenetico del SARS-CoV-2 con altri CoV, i pipistrelli sono stati considerati l’ospite nativo del SARS-CoV-2, dato che il nuovo virus è al 96% identico a due CoV simili al SARS provenienti dai pipistrelli chiamati Bat-SL-CoVZX45 e Bat-SL-CoVZX21.
123	en	it	However, what intermediate host helped the virus cross the species barrier to infect humans remains unknown, and the transmission route is yet to be elucidated.	Tuttavia, resta da chiarire quale ospite intermedio abbia aiutato il virus ad attraversare la barriera di specie per infettare gli umani, e la via di trasmissione.
124	en	it	Ji, et al., proposed snakes as a carrier of the virus from bats to humans which involved homologous recombination within the S protein.	Ji, et al hanno proposto i serpenti come portatori del virus dai pipistrelli agli esseri umani, il che implicava una ricombinazione omologa della proteina S.
125	en	it	According to a study, researchers in Guangzhou, China, suggested that pangolins – long-snouted, ant-eating mammals often used in traditional Chinese medicine – are the potential intermediate host of SARS-CoV-2 based on 99% genetic homology in a CoV discovered in pangolins and SARS-CoV-2.	Uno studio condotto da dei ricercatori di Guangzhou, in Cina, suggerisce che i pangolini - mammiferi dal muso lungo mangiatori di formiche usati spesso nella medicina tradizionale cinese - siano i potenziali ospiti intermedi del SARS-CoV-2 sulla base di un’omologia del 99% in un CoV scoperto nei pangolini e nel SARS-CoV-2.
126	en	it	"However, 1% difference spread all over two genomes is still a big difference; thus, conclusive results for concrete evidence are awaited (Fig. 3)."	"Tuttavia, una differenza dell’1% distribuita su due genomi resta ancora una grossa differenza; pertanto, si attendono risultati conclusivi per prove concrete (Fig. 3)."
127	en	it	The physicochemical properties of SARS-CoV-2 are largely not yet known.	Le proprietà fisico-chimiche del SARS-CoV-2 rimangono ancora ampiamente sconosciute.
128	en	it	SARS-CoV and MERS-CoV can survive in vitro for 48 hours in a dry environment and up to 5 days under 20 °C and 40%-50% humidity.	Il SARS-CoV e il MERS-CoV possono sopravvivere in vitro per 48 ore in ambiente secco e fino a 5 giorni a 20 °C e con il 40%-50% di umidità.
129	en	it	SARS-CoV-2 may possess similar properties.	Il SARS-CoV-2 potrebbe possedere proprietà simili.
130	en	it	"It has been reported that SARS-CoV-2 is sensitive to ultraviolet rays and heat at 56 °C for 30 minutes; ether, 75% ethanol, chlorine-containing disinfectant, peracetic acid, chloroform, and other fatty solvents, but not chlorhexidine, can effectively inactivate the virus."	"È stato riscontrato che il SARS-CoV-2 è sensibile ai raggi ultravioletti e al calore a 56 °C per 30 minuti; l’etere, l’etanolo al 75%, i disinfettanti contenenti cloro, l’acido peracetico, il cloroformio e altri solventi grassi, ma non la clorexidina, possono inattivare efficacemente il virus."
131	en	it	The entire human population generally lacks immunity to SARS-CoV-2 and hence is susceptible to the novel virus.	In generale, l’intera popolazione umana è priva di immunità al SARS-CoV-2, ed è quindi suscettibile al nuovo virus.
132	en	it	Currently, no detailed study has been reported regarding the immunological response to SARS-CoV-2.	Al momento, non si ha notizia di alcuno studio dettagliato sulla risposta immunologica al SARS-CoV-2.
133	en	it	Thus, we can only refer to previous studies on other CoVs, especially SARS-CoV and MERS-CoV (Fig. 4).	Pertanto, si può solo fare riferimento a studi precedenti su altri CoV, in particolare il SARS-CoV e il MERS-CoV (Fig. 4).
134	en	it	In general, after a virus invades the host, it is first recognized by the host innate immune system through pattern recognition receptors (PRRs) including C-type lectin-like receptors, Toll-like receptor (TLR), NOD-like receptor (NLR), and RIG-I-like receptor (RLR).	In generale, dopo che un virus invade l’ospite, questo viene prima riconosciuto dal sistema immunitario innato dell’ospite tramite i recettori dell’immunità innata (PRRs), che comprendono i recettori di lectine di tipo C, i recettori Toll-simili (TLR), i recettori di tipo NOD e i recettori simil-RIG-I (RLR).
135	en	it	Through different pathways, the virus induces the expression of inflammatory factors, maturation of dendritic cells, and synthesis of type I interferons (IFNs) which limit the spreading of the virus and accelerate macrophage phagocytosis of viral antigens.	Attraverso diverse vie, il virus induce l’espressione di fattori infiammatori, la maturazione di cellule dendritiche, e la sintesi di interferoni di tipo I (IFN), i quali limitano il diffondersi del virus e accelerano la fagocitosi macrofagica degli antigeni virali.
136	en	it	However, the N protein of SARS-CoV can help the virus escape from the immune responses.	Tuttavia, la proteina N del SARS-CoV può aiutare il virus a eludere le risposte immunitarie.
137	en	it	Soon, the adaptive immune response joins the fight against the virus.	Presto, la risposta immunitaria adattativa si unisce alla lotta contro il virus.
138	en	it	T lymphocytes including CD4+ and CD8+ T cells play an important role in the defense.	I linfociti T, inclusi i linfociti T CD4+ e CD8+, ricoprono un ruolo importante nella difesa.
139	en	it	CD4+ T cells stimulate B cells to produce virus-specific antibodies, and CD8+ T cells directly kill virus-infected cells.	I linfociti T CD4+ stimolano i linfociti B a produrre anticorpi specifici per il virus, e i linfociti CD8+ uccidono direttamente le celle infettate dal virus.
140	en	it	T helper cells produce proinflammatory cytokines to help the defending cells.	I linfociti T helper producono citochine proinfiammatorie per aiutare le cellule difensive.
141	en	it	However, CoV can inhibit T cell functions by inducing apoptosis of T cells.	Tuttavia, i CoV possono inibire le funzioni dei linfociti T inducendo l’apoptosi dei linfociti T.
142	en	it	The humoral immunity including complements such as C3a and C5a and antibodies is also essential in combating the viral infection.	Anche l’immunità umorale, che include complementi come C3a e C5a e gli anticorpi, è fondamentale per combattere l’infezione virale.
143	en	it	For example, antibodies isolated from a recovered patient neutralized MERS-CoV.	Ad esempio, gli anticorpi isolati da un paziente guarito hanno neutralizzato il MERS CoV.
144	en	it	On the other hand, an overreaction of the immune system generates a large number of free radicals locally that can cause severe damages to the lungs and other organs, and, in the worst scenario, multi-organ failure and even death.	D’altro canto, una reazione eccessiva del sistema immunitario genera localmente un grande numero di radicali liberi che può causare danni gravi ai polmoni e ad altri organi, e, nello scenario peggiore, insufficienza multiorgano e perfino il decesso.
145	en	it	The SARS-CoV-2 infection, featured by clustering onset, is more likely to affect elderly people with comorbidities and pregnant women.	L’infezione da SARS-CoV-2, caratterizzata da esordio a cluster, colpisce con più probabilità gli anziani con comorbilità e le donne incinte.
146	en	it	It is common that for people who are exposed to a large number of viruses or whose immune functions are compromised, they have higher chance to be infected than others.	Le persone esposte a un numero elevato di virus o le cui funzioni immunitarie sono compromesse hanno maggiori probabilità.
147	en	it	The estimated mean incubation period of SARS-CoV-2 is 1-14 days, mostly 3-7 days based on a study of the first 425 cases in Wuhan.	Il periodo di incubazione medio stimato del SARS-CoV-2 è 1-14 giorni, per lo più 3-4 giorni in base a uno studio dei primi 425 casi a Wuhan.
148	en	it	However, a study on 1,099 cases demonstrates that the incubation period was 3 days on average and ranged from 0 to 24 days.	Tuttavia, uno studio condotto su 1.099 casi dimostra che il periodo di incubazione era in media di 3 giorni e variava da 0 a 24 giorni.
149	en	it	A more recent study, as described above, demonstrates that the incubation period was 4.8 (3.0-7.2) days based on the demography of 8,866 cases.	Uno studio più recente, come descritto in precedenza, dimostra che il periodo di incubazione era di 4,8 (3,0-7,2) giorni in base alla demografia di 8,866 casi.
150	en	it	It is very important for health authorities to adjust the effective quarantine time based on the most accurate incubation period, thus preventing infected but symptomless people from transmitting the virus to others.	È molto importante che le autorità sanitarie calibrino il periodo di quarantena effettivo sulla base del periodo di incubazione più accurato, impedendo così alle persone infette ma asintomatiche dal trasmettere il virus ad altri.
151	en	it	As a common practice, individuals exposed to, or infected by, the virus are usually required to be quarantined for 14 days.	Come pratica comune, di solito gli individui esposti al virus o infettati sono tenuti a sottoporsi a quarantena per 14 giorni.
152	en	it	Should the quarantine time be extended to 24 days?	Bisognerebbe estendere il periodo di quarantena a 24 giorni?
153	en	it	Fever is often the major and initial symptom of COVID-19, which can be accompanied by no symptom or other symptoms such as dry cough, shortness of breath, muscle ache, dizziness, headache, sore throat, rhinorrhea, chest pain, diarrhea, nausea, and vomiting.	La febbre è spesso il sintomo principale e iniziale del COVID-19, che può essere accompagnato da nessun sintomo o da altri sintomi come tosse secca, fiato corto, dolori muscolari, vertigini, mal di testa, mal di gola, rinorrea, dolori al torace, diarrea, nausea e vomito.
154	en	it	Some patients experienced dyspnea and/or hypoxemia one week after the onset of the disease.	Alcuni pazienti hanno manifestato dispnea e/o ipossiemia una settimana dopo l’esordio della malattia.
155	en	it	In severe cases, patients quickly progressed to develop acute respiratory syndrome, septic shock, metabolic acidosis, and coagulopathy.	In casi gravi, i pazienti hanno rapidamente proceduto a sviluppare sindrome respiratoria acuta, shock settico, acidosi metabolica e coagulopatie.
156	en	it	Patients with fever and/or respiratory symptoms and acute fever, even without pulmonary imaging abnormalities, should be screened for the virus for early diagnosis.	I pazienti con febbre e/o sintomi respiratori e febbre acuta, anche senza anomalie nell’imaging polmonare, dovrebbero sottoporsi a un esame per il virus per una diagnosi precoce.
157	en	it	"A demographic study in late December of 2019 showed that the percentages of the symptoms were 98% for fever, 76% for dry cough, 55% for dyspnea, and 3% for diarrhea; 8% of the patients required ventilation support."	"Uno studio di popolazione di fine dicembre 2019 illustrava che le percentuali dei sintomi erano di 98% per la febbre, 76% per la tosse secca, 55% per la dispnea e 3% per la diarrea; l’8% dei pazienti necessitava il supporto della ventilazione."
158	en	it	Similar findings were reported in two recent studies of a family cluster and a cluster caused by transmission from an asymptomatic individual.	Risultati simili sono stati riferiti in due studi recenti su un cluster familiare e un cluster causato dalla trasmissione da parte di un individuo asintomatico.
159	en	it	Comparably, a demographic study in 2012 showed that MERS-CoV patients also had fever (98%), dry cough (47%), and dyspnea (55%) as their main symptoms.	Analogamente, uno studio di popolazione condotto nel 2012 ha mostrato che anche i pazienti MERS-CoV presentavano febbre (98%), tosse secca (47%), e dispnea (55%) come sintomi principali.
160	en	it	However, 80% of them required ventilation support, much more than COVID-19 patients and consistent with the higher lethality of MERS than of COVID-19.	Tuttavia, l’80% di loro necessitava il supporto della ventilazione, molto più dei pazienti COVID-19, conformemente alla mortalità più alta della MERS rispetto a quella del COVID-19.
161	en	it	Diarrhea (26%) and sore throat (21%) were also observed with MERS patients.	Anche la diarrea (26%) e il mal di gola (21%) sono stati osservati in pazienti MERS.
162	en	it	In SARS patients, it has been demonstrated that fever (99%-100%), dry cough (29%-75%), dyspnea (40%-42%), diarrhea (20-25%), and sore throat (13-25%) were the major symptoms and ventilation support was required for approximately 14%-20% of the patients.	Nei pazienti SARS, è stato dimostrato che febbre (99%-199%), tosse secca (29%-75%), dispnea (40%-42%), diarrea (20-25%), e mal di gola (13-25%) erano i sintomi principali e il supporto della ventilazione era richiesto per circa il 14%-20% dei pazienti.
163	en	it	By February 14, the mortality of COVID-19 was 2% when the confirmed cases reached 66,576 globally.	Al 14 febbraio, la mortalità del COVID-19 era del 2% quando i casi confermati hanno raggiunto i 66.576 in tutto il mondo.
164	en	it	Comparably, the mortality of SARS by November 2002 was 10% of 8,096 confirmed cases.	Analogamente, la mortalità della SARS nel novembre del 2002 era del 10% dei 8.096 casi confermati.
165	en	it	For MERS, based on a demographic study in June 2012, the mortality was 37% of 2,494 confirmed cases.	Per la MERS, in base a uno studio di popolazione del giugno 2012, la mortalità era del 37% dei 2.494 casi confermati.
166	en	it	An earlier study reported that the R0 of SARS-CoV-2 was as high as 6.47 with a 95% confidence interval (CI) of 5.71-7.23 , whereas the R0 of SARS-CoV only ranged from 2 to 4.	Uno studio precedente ha riscontrato che l’R0 del SARS-CoV-2 era pari a 6,47 con un intervallo di confidenza (CI) del 95% di 5,71-7,23 , mentre l’R0 del SARS-CoV variava solo da 2 a 4.
167	en	it	A comparison of SARS-CoV-2 with MERS-CoV and SARA-CoV regarding their symptoms, mortality, and R0 is presented in Table 1.	Un confronto tra SARS-CoV-2, MERS-CoV e SARS-CoV rispetto ai loro sintomi, alla mortalità e all’R0 è presentato nella Tabella 1.
168	en	it	The above figures suggest that SARS-CoV-2 has a higher ability to spread than MERS-CoV and SARS-CoV, but it is less lethal than the latter two.	Le cifre di cui sopra suggeriscono che il SARS-CoV-2 abbia un’abilità maggiore di diffondersi rispetto al MERS-CoV e il SARS-CoV, ma che è meno letale di questi ultimi due.
169	en	it	Thus, it is much more challenging to control the epidemic of SARS-CoV-2 than those of MERS-CoV and SARS-CoV.	Pertanto, è molto più complesso controllare l'epidemia di SARS-CoV-2 che quelle di MERS-CoV e di SARS-CoV.
170	en	it	Clustered onset often happens in the same family or from the same gathering or vehicle such as a cruise ship.	Gli esordi in cluster avvengono di solito all’interno dello stesso nucleo familiare, o a causa di un assembramento, o della permanenza nello stesso veicolo, come una nave da crociera.
171	en	it	Patients often have a history of travel or residence in Wuhan or other affected areas or contact with infected individuals or patients in the recent two weeks before the onset.	I pazienti hanno spesso una storia di viaggi o residenza a Wuhan o in altre aree colpite, oppure di contatto con individui o pazienti infetti nelle ultime due settimane precedenti all’esordio.
172	en	it	However, it has been reported that people can carry the virus without symptoms longer than two weeks and cured patients discharged from hospitals can carry the virus again , which sends out an alarm to increase the time for quarantine.	Tuttavia, è stato riscontrato che le persone possono trasportare il virus senza sintomi per più di due settimane e che i pazienti curati dimessi dall’ospedale possono essere di nuovo infettati dal virus , un segnale di allarme che indica la necessità di allungare il periodo di quarantena.
173	en	it	Patients have normal or reduced number of peripheral white blood cells (especially lymphocytes) at the early stage.	Nella fase iniziale i pazienti presentano un numero normale o ridotto di globuli bianchi del sangue periferico (in particolare i linfociti).
174	en	it	For example, lymphopenia with white blood cell count < 4×109/L including lymphocyte count < 1×109/L, and elevated aspartate aminotransferase levels and viremia were found in 1,099 COVID-19 patients.	Per esempio, in 1.099 pazienti COVID-19  sono stati rilevati linfocitopenia con un valore dei globuli bianchi < 4×109/L, incluso un valore dei linfociti < 1×109/L, e livelli elevati di aspartato aminotransferasi e viremia.
175	en	it	The levels of liver and muscle enzymes and myoglobin were increased in the blood of some patients, and C-reactive protein and erythrocyte sedimentation were increased in the blood of most patients.	I livelli di enzimi epatici e muscolari e di mioglobina erano aumentati nel sangue di alcuni pazienti, e la proteina C reattiva e la sedimentazione di eritrociti erano aumentati nel sangue della maggioranza dei pazienti.
176	en	it	In patients with severe cases, the level of D-dimer, a fibrin degradation product present in the blood, was elevated, and lymphocyte count was progressively reduced.	In pazienti con casi gravi, il livello di D-dimero, un prodotto di degradazione della fibrina presente nel sangue, era elevato, e il valore dei linfociti risultava progressivamente ridotto.
177	en	it	Abnormalities in chest radiography are found in most COVID-19 patients and featured by bilateral patchy shadows or ground glass opacity in the lungs.	Nella maggior parte dei pazienti COVID-19 si riscontrano anomalie nella radiografia toracica, caratterizzate da ombre irregolari o da opacità a vetro smerigliato bilaterali nei polmoni.
178	en	it	Patients often develop an atypical pneumonia, acute lung injury, and acute respiratory distress syndrome (ARDS).	I pazienti sviluppano spesso polmonite atipica, danni polmonari acuti e sindrome da distress respiratorio acuto (ARDS).
179	en	it	When ARDS happens, uncontrolled inflammation, fluid accumulation, and progressive fibrosis severely compromise the gas exchange.	Quando si verifica la ARDS, l’infiammazione incontrollata, l’accumulo di fluidi e la fibrosi progressiva compromettono gravemente lo scambio gassoso.
180	en	it	Dysfunction of type-I and type-II pneumocytes decreases the surfactant level and increases surface tension, thus reducing the ability of the lungs to expand and heightening the risk of lung collapse.	Le disfunzioni degli pneumociti di tipo I e II riducono il livello di surfattante e aumentano la tensione superficiale, riducendo così la capacità dei polmoni di espandersi e aumentando il rischio di collasso polmonare.
181	en	it	Therefore, the worst chest radiographic findings often parallel the most severe extent of the disease.	Pertanto, gli esiti radiografici peggiori sono spesso associati alla forma più grave della malattia.
182	en	it	On February 18, 2020, the first pathological analysis of COVID-19 demonstrated the desquamation of pneumocytes, hyaline membrane formation, and interstitial lymphocyte infiltration, and multinucleated syncytial cells in the lungs of a patient who died of the disease, consistent with the pathology of viral infection and ARDS  and similar to that of SARS and MERS patients.	Il 18 febbraio 2020, la prima analisi patologica del COVID-19 ha dimostrato la desquamazione degli pneumociti, la formazione di una membrana ialina, e l’infiltrazione interstiziale di linfociti, e cellule sinciziali multinucleate nei polmoni di un paziente deceduto per la malattia, conformemente alla patologia dell’infezione virale e all’ARDS  e analogamente a quella dei pazienti SARS e MERS.
183	en	it	The detection of SARS-CoV-2 RNA via reverse-transcriptase polymerase chain reaction (RT-PCR) was used as the major criteria for the diagnosis of COVID-19.	La rilevazione dell’RNA del SARS-CoV-2 tramite reazione a catena della polimerasi inversa (RT-PCR) è stata usata come criterio principale per la diagnosi di COVID-19.
184	en	it	However, due to the high false-negative rate, which may accelerate the epidemic, clinical manifestations started to be used for diagnosis (which no longer solely relied on RT-PCR) in China on February 13, 2020.	Tuttavia, a causa dell’alto tasso di falsi negativi, che potrebbero accelerare l’epidemia, il 13 febbraio 2020 si è deciso di iniziare a utilizzare, in Cina, le manifestazioni cliniche ai fini della diagnosi (che non faceva più affidamento solamente sulla RT-PCR).
185	en	it	A similar situation also occurred with the diagnosis of SARS.	Una situazione simile si è verificata anche con la diagnosi della SARS.
186	en	it	Therefore, a combination of disease history, clinical manifestations, laboratory tests, and radiological findings is essential and imperative for making an effective diagnosis.	Pertanto, una combinazione di anamnesi, manifestazioni cliniche, test di laboratorio, risultati radiologici è essenziale e imperativa per effettuare una diagnosi efficace.
187	en	it	On February 14, 2020, the Feng Zhang group described a protocol of using the CRISPR-based SHERLOCK technique to detect SARS-CoV-2, which detects synthetic SARS-CoV-2 RNA fragments at 20 × 10-18 mol/L to 200 × 10-18 mol/L (10-100 copies per microliter of input) using a dipstick in less than an hour without requiring elaborate instrumentation.	Il 14 febbraio 2020, il gruppo Feng Zhang ha descritto un protocollo della tecnica SHERLOCK basata su CRISPR per rilevare il SARS-CoV-2, che individua, in meno di un’ora e senza richiedere strumenti complessi , frammenti sintetici dell’RNA del SARS-CoV-2 tra 20 × 10-18 mol/L e 200 × 10-18 mol/L (10-100 copie per microlitro di campione) utilizzando una striscia reattiva.
188	en	it	Hopefully, the new technique can dramatically enhance the sensitivity and convenience if verified in clinical samples.	Si spera che la nuova tecnica possa aumentare drasticamente la sensibilità e la praticità se verificata in campioni clinici.
189	en	it	Due to the lack of experience with the novel CoV, physicians can mainly provide supportive care to COVID-19 patients, while attempting a variety of therapies that have been used or proposed before for the treatment of other CoVs such as SARS-CoV and MERS-CoV and other viral diseases (Table 2).	Per via della mancanza di esperienza con il nuovo CoV, i medici possono fornire principalmente terapie di supporto ai pazienti COVID-19, mentre provano una serie di terapie che sono state usate o proposte in precedenza per il trattamento di altri CoV come il SARS-CoV e il MERS CoV e altre malattie virali (Tabella 2).
190	en	it	These therapies include current and potential treatments with antiviral drugs, immunosuppressants, steroids, plasma from recovered patients, Chinese medicine, and psychological support.	Queste terapie includono trattamenti attuali e potenziali con farmaci antivirali, immunosoppressori, steroidi, plasma di pazienti guariti, medicina cinese e supporto psicologico.
191	en	it	Even plasma from recovered patients was proposed to be used for treatment.	Si è perfino proposto di adoperare, per il trattamento, il plasma di pazienti guariti.
192	en	it	Pharmaceutical companies are racing to develop antibodies and vaccines against the virus.	Le compagnie farmaceutiche stanno concorrendo per sviluppare anticorpi e vaccini contro il virus.
193	en	it	SARS-CoV-2 mainly attacks the lungs in the beginning and probably also attacks, to a lesser degree, other organs that express ACE2, such as the gastrointestinal system and the kidneys.	Il SARS-CoV-2 all’inizio colpisce principalmente i polmoni e, probabilmente, attacca anche, in misura minore, altri organi che esprimono ACE2, come l’apparato gastrointestinale e i reni.
194	en	it	Nevertheless, respiratory dysfunction and failure are the major threat to the patients and the major cause of death.	Ciononostante, la disfunzione e l’insufficienza respiratoria rappresentano la minaccia e la causa di morte principale per i pazienti.
195	en	it	Thus, respiratory support is critical to relieve the symptoms and save lives and includes general oxygen therapy, high-flow oxygen, noninvasive ventilation, and invasive mechanical ventilation depending on the severity of the disease.	Il supporto respiratorio è dunque cruciale per alleviare i sintomi e salvare vite, e include l’ossigenoterapia generale, l’ossigeno ad alto flusso , la ventilazione non invasiva e la ventilazione invasiva meccanica a seconda della gravità della malattia.
196	en	it	Patients with severe respiratory symptoms have to be supported by extracorporeal membrane oxygenation (ECMO), a modified cardiopulmonary bypass technique used for the treatment of life-threatening cardiac or respiratory failure.	I pazienti con sintomi respiratori gravi devono essere supportati con ossigenazione extra-corporea a membrana (ECMO), una tecnica di bypass cardiopolmonare modificato utilizzata per il trattamento di insufficienza cardiaca o respiratoria potenzialmente letale.
