source,reference,MMT (baseline),LLM (base),BLEU (MMT base),BLEU (LLM base),BLEU (difference base MMT/LLM),chrF3 (MMT base),chrF3 (LLM base),chrF3 (difference base MMT/LLM),COMET (MMT base),COMET (LLM base),COMET (difference base MMT/LLM)
"It has been reported that SARS-CoV-2 is sensitive to ultraviolet rays and heat at 56 °C for 30 minutes; ether, 75% ethanol, chlorine-containing disinfectant, peracetic acid, chloroform, and other fatty solvents, but not chlorhexidine, can effectively inactivate the virus.","È stato riscontrato che il SARS-CoV-2 è sensibile ai raggi ultravioletti e al calore a 56 °C per 30 minuti; l’etere, l’etanolo al 75%, i disinfettanti contenenti cloro, l’acido peracetico, il cloroformio e altri solventi grassi, ma non la clorexidina, possono inattivare efficacemente il virus.","È stato riportato che SARS-CoV-2 è sensibile ai raggi ultravioletti e al calore a 56° C per 30 minuti; etere, etanolo al 75%, disinfettante contenente cloro, acido peracetico, cloroformio e altri solventi grassi, ma non clorexidina, possono efficacemente inattivare il virus.","È stato segnalato che il SARS-CoV-2 è sensibile ai raggi ultravioletti e al calore a 56 °C per 30 minuti; l'etere, l'alcol etilico al 75%, il disinfettante a base di cloro, l'acido peracetico, il cloroformio e altri solventi grassi, ma non la clorexidina, possono inattivare efficacemente il virus.",46.008,70.1,-24.092,80.167,84.436,-4.269,0.88,0.904,-0.024
"Thus, we can only refer to previous studies on other CoVs, especially SARS-CoV and MERS-CoV (Fig. 4).","Pertanto, si può solo fare riferimento a studi precedenti su altri CoV, in particolare il SARS-CoV e il MERS-CoV (Fig. 4).","Pertanto, possiamo solo fare riferimento a studi precedenti su altri CoV, in particolare SARS-CoV e MERS-CoV (Fig. 4).","Pertanto, possiamo fare riferimento solo a precedenti studi su altri CoV, in particolare SARS-CoV e MERS-CoV (Fig. 4).",67.096,46.867,20.229,84.148,75.739,8.409,0.957,0.955,0.002
"However, the N protein of SARS-CoV can help the virus escape from the immune responses.","Tuttavia, la proteina N del SARS-CoV può aiutare il virus a eludere le risposte immunitarie.","Tuttavia, la proteina N di SARS-CoV può aiutare il virus a sfuggire alle risposte immunitarie.","Tuttavia, la proteina N del SARS-CoV può aiutare il virus a sfuggire alle risposte immunitarie.",57.306,76.247,-18.941,81.982,88.081,-6.099,0.917,0.931,-0.014
"CD4+ T cells stimulate B cells to produce virus-specific antibodies, and CD8+ T cells directly kill virus-infected cells.","I linfociti T CD4+ stimolano i linfociti B a produrre anticorpi specifici per il virus, e i linfociti CD8+ uccidono direttamente le celle infettate dal virus.",Le cellule T CD4+ stimolano le cellule B a produrre anticorpi specifici per il virus e le cellule T CD8+ uccidono direttamente le cellule infettate dal virus.,"Le cellule T CD4+ stimolano le cellule B a produrre anticorpi specifici per il virus, e le cellule T CD8+ uccidono direttamente le cellule infettate dal virus.",50.787,55.588,-4.801,71.303,72.601,-1.298,0.895,0.896,-0.001
The humoral immunity including complements such as C3a and C5a and antibodies is also essential in combating the viral infection.,"Anche l’immunità umorale, che include complementi come C3a e C5a e gli anticorpi, è fondamentale per combattere l’infezione virale.",Anche l'immunità umorale che include complementi come C3a e C5a e anticorpi è essenziale per combattere l'infezione virale.,"L'immunità umorale, inclusi i complementi come C3a e C5a e gli anticorpi, è anch'essa essenziale nella lotta contro l'infezione virale.",39.641,44.883,-5.242,75.014,62.996,12.018,0.93,0.916,0.014
"The SARS-CoV-2 infection, featured by clustering onset, is more likely to affect elderly people with comorbidities and pregnant women.","L’infezione da SARS-CoV-2, caratterizzata da esordio a cluster, colpisce con più probabilità gli anziani con comorbilità e le donne incinte.","L'infezione da SARS-CoV-2, caratterizzata dall'insorgenza del raggruppamento, ha maggiori probabilità di colpire le persone anziane con comorbilità e le donne in gravidanza.","L'infezione da SARS-CoV-2, caratterizzata da un'esordio in gruppi, è più probabile che colpisca le persone anziane con comorbidità e le donne incinte.",25.381,30.112,-4.731,62.909,70.093,-7.184,0.836,0.897,-0.061
"However, a study on 1,099 cases demonstrates that the incubation period was 3 days on average and ranged from 0 to 24 days.","Tuttavia, uno studio condotto su 1.099 casi dimostra che il periodo di incubazione era in media di 3 giorni e variava da 0 a 24 giorni.","Tuttavia, uno studio su 1.099 casi dimostra che il periodo di incubazione era in media di 3 giorni e variava da 0 a 24 giorni.","Tuttavia, uno studio su 1.099 casi ha dimostrato che il periodo di incubazione è stato in media di 3 giorni e variava da 0 a 24 giorni.",90.387,67.168,23.219,92.358,82.278,10.08,0.958,0.955,0.003
"As a common practice, individuals exposed to, or infected by, the virus are usually required to be quarantined for 14 days.","Come pratica comune, di solito gli individui esposti al virus o infettati sono tenuti a sottoporsi a quarantena per 14 giorni.","Come pratica comune, gli individui esposti o infettati dal virus di solito devono essere messi in quarantena per 14 giorni.","Come pratica comune, le persone esposte al virus o infettate sono generalmente tenute a essere in quarantena per 14 giorni.",35.558,32.215,3.343,69.154,57.069,12.085,0.949,0.936,0.013
Some patients experienced dyspnea and/or hypoxemia one week after the onset of the disease.,Alcuni pazienti hanno manifestato dispnea e/o ipossiemia una settimana dopo l’esordio della malattia.,Alcuni pazienti hanno manifestato dispnea e/o ipossiemia una settimana dopo l'insorgenza della malattia.,Alcuni pazienti hanno sperimentato dispnea e/o ipossiemia una settimana dopo l'inizio della malattia.,81.536,61.281,20.255,88.709,80.605,8.104,0.957,0.955,0.002
"A demographic study in late December of 2019 showed that the percentages of the symptoms were 98% for fever, 76% for dry cough, 55% for dyspnea, and 3% for diarrhea; 8% of the patients required ventilation support.","Uno studio di popolazione di fine dicembre 2019 illustrava che le percentuali dei sintomi erano di 98% per la febbre, 76% per la tosse secca, 55% per la dispnea e 3% per la diarrea; l’8% dei pazienti necessitava il supporto della ventilazione.","Uno studio demografico alla fine di dicembre del 2019 ha mostrato che le percentuali dei sintomi erano del 98% per la febbre, del 76% per la tosse secca, del 55% per la dispnea e del 3% per la diarrea; l'8% dei pazienti necessitava di supporto alla ventilazione.","Uno studio demografico alla fine di dicembre 2019 ha mostrato che le percentuali dei sintomi erano del 98% per la febbre, del 76% per la tosse secca, del 55% per la dispnea e del 3% per la diarrea; l'8% dei pazienti ha richiesto un sostegno di ventilazione.",49.875,48.033,1.842,73.879,68.247,5.632,0.911,0.904,0.007
"However, 80% of them required ventilation support, much more than COVID-19 patients and consistent with the higher lethality of MERS than of COVID-19.","Tuttavia, l’80% di loro necessitava il supporto della ventilazione, molto più dei pazienti COVID-19, conformemente alla mortalità più alta della MERS rispetto a quella del COVID-19.","Tuttavia, l'80% di loro ha richiesto un supporto di ventilazione, molto più dei pazienti COVID-19 e coerente con la maggiore letalità della MERS rispetto al COVID-19.","Tuttavia, l'80% di loro ha richiesto un sostegno di ventilazione, molto più dei pazienti con COVID-19 e in linea con la letalità più alta del MERS rispetto al COVID-19.",29.951,23.77,6.181,61.2,57.564,3.636,0.887,0.879,0.008
"By February 14, the mortality of COVID-19 was 2% when the confirmed cases reached 66,576 globally.","Al 14 febbraio, la mortalità del COVID-19 era del 2% quando i casi confermati hanno raggiunto i 66.576 in tutto il mondo.","Entro il 14 febbraio, la mortalità di COVID-19 era del 2% quando i casi confermati hanno raggiunto 66.576 a livello globale.","Entro il 14 febbraio, la mortalità del COVID-19 era del 2% quando i casi confermati raggiunsero i 66.576 a livello globale.",57.053,61.98,-4.927,77.524,74.351,3.173,0.907,0.912,-0.005
"An earlier study reported that the R0 of SARS-CoV-2 was as high as 6.47 with a 95% confidence interval (CI) of 5.71-7.23 , whereas the R0 of SARS-CoV only ranged from 2 to 4.","Uno studio precedente ha riscontrato che l’R0 del SARS-CoV-2 era pari a 6,47 con un intervallo di confidenza (CI) del 95% di 5,71-7,23 , mentre l’R0 del SARS-CoV variava solo da 2 a 4.","Uno studio precedente riportava che l'R0 di SARS-CoV-2 era pari a 6,47 con un intervallo di confidenza (IC) del 95% di 5,71-7,23 , mentre l'R0 di SARS-CoV variava solo da 2 a 4.","Uno studio precedente ha riportato che il R0 del SARS-CoV-2 era alto come 6,47 con un intervallo di confidenza del 95% (IC) di 5,71-7,23 , mentre il R0 del SARS-CoV si è mosso solo tra 2 e 4.",67.105,35.104,32.001,78.208,69.53,8.678,0.915,0.843,0.072
"Thus, it is much more challenging to control the epidemic of SARS-CoV-2 than those of MERS-CoV and SARS-CoV.","Pertanto, è molto più complesso controllare l'epidemia di SARS-CoV-2 che quelle di MERS-CoV e di SARS-CoV.","Pertanto, è molto più difficile controllare l'epidemia di SARS-CoV-2 rispetto a quelle di MERS-CoV e SARS-CoV.","Pertanto, è molto più difficile controllare l'epidemia di SARS-CoV-2 rispetto a quella di MERS-CoV e SARS-CoV.",50.081,43.039,7.042,76.91,73.28,3.63,0.947,0.946,0.001
"However, it has been reported that people can carry the virus without symptoms longer than two weeks and cured patients discharged from hospitals can carry the virus again , which sends out an alarm to increase the time for quarantine.","Tuttavia, è stato riscontrato che le persone possono trasportare il virus senza sintomi per più di due settimane e che i pazienti curati dimessi dall’ospedale possono essere di nuovo infettati dal virus , un segnale di allarme che indica la necessità di allungare il periodo di quarantena.","Tuttavia, è stato riferito che le persone possono trasportare il virus senza sintomi per più di due settimane e i pazienti guariti dimessi dagli ospedali possono trasportare di nuovo il virus, il che invia un allarme per aumentare il tempo di quarantena.","Tuttavia, è stato segnalato che le persone possono trasportare il virus senza sintomi per più di due settimane e i pazienti guariti dimessi dagli ospedali possono trasportare nuovamente il virus , il che lancia un allarme per aumentare il tempo di quarantena.",41.787,40.623,1.164,64.299,62.014,2.285,0.869,0.854,0.015
"The levels of liver and muscle enzymes and myoglobin were increased in the blood of some patients, and C-reactive protein and erythrocyte sedimentation were increased in the blood of most patients.","I livelli di enzimi epatici e muscolari e di mioglobina erano aumentati nel sangue di alcuni pazienti, e la proteina C reattiva e la sedimentazione di eritrociti erano aumentati nel sangue della maggioranza dei pazienti.",I livelli di enzimi epatici e muscolari e di mioglobina erano aumentati nel sangue di alcuni pazienti e la proteina C-reattiva e la sedimentazione degli eritrociti erano aumentate nel sangue della maggior parte dei pazienti.,"I livelli degli enzimi del fegato e dei muscoli e della mioglobina sono aumentati nel sangue di alcuni pazienti, e la proteina C-reattiva e la sedimentazione degli eritrociti sono aumentate nel sangue della maggior parte dei pazienti.",60.102,35.691,24.411,89.573,75.517,14.056,0.924,0.867,0.057
"Patients often develop an atypical pneumonia, acute lung injury, and acute respiratory distress syndrome (ARDS).","I pazienti sviluppano spesso polmonite atipica, danni polmonari acuti e sindrome da distress respiratorio acuto (ARDS).","I pazienti spesso sviluppano una polmonite atipica, una lesione polmonare acuta e una sindrome da distress respiratorio acuto (ARDS).","I pazienti spesso sviluppano una polmonite atipica, una lesione polmonare acuta e una sindrome da distress respiratorio acuto (ARDS).",45.334,45.334,0.0,77.764,78.596,-0.832,0.933,0.933,0.0
"Therefore, the worst chest radiographic findings often parallel the most severe extent of the disease.","Pertanto, gli esiti radiografici peggiori sono spesso associati alla forma più grave della malattia.","Pertanto, i peggiori reperti radiografici toracici spesso sono paralleli all'estensione più grave della malattia.","Pertanto, le peggiori scoperte radiografiche al torace spesso paralleli la maggiore estensione della gravità della malattia.",29.482,10.935,18.547,62.235,52.282,9.953,0.837,0.678,0.159
"However, due to the high false-negative rate, which may accelerate the epidemic, clinical manifestations started to be used for diagnosis (which no longer solely relied on RT-PCR) in China on February 13, 2020.","Tuttavia, a causa dell’alto tasso di falsi negativi, che potrebbero accelerare l’epidemia, il 13 febbraio 2020 si è deciso di iniziare a utilizzare, in Cina, le manifestazioni cliniche ai fini della diagnosi (che non faceva più affidamento solamente sulla RT-PCR).","Tuttavia, a causa dell'elevato tasso di falsi negativi, che potrebbe accelerare l'epidemia, le manifestazioni cliniche hanno iniziato a essere utilizzate per la diagnosi (che non si basava più esclusivamente sulla RT-PCR) in Cina il 13 febbraio 2020.","Tuttavia, a causa dell'alto tasso di falsi negativi, che può accelerare l'epidemia, le manifestazioni cliniche cominciarono ad essere utilizzate per la diagnosi (che non si basava più soltanto sulla RT-PCR) in Cina il 13 febbraio 2020.",33.336,33.001,0.335,68.298,63.61,4.688,0.817,0.808,0.009
"On February 14, 2020, the Feng Zhang group described a protocol of using the CRISPR-based SHERLOCK technique to detect SARS-CoV-2, which detects synthetic SARS-CoV-2 RNA fragments at 20 × 10-18 mol/L to 200 × 10-18 mol/L (10-100 copies per microliter of input) using a dipstick in less than an hour without requiring elaborate instrumentation.","Il 14 febbraio 2020, il gruppo Feng Zhang ha descritto un protocollo della tecnica SHERLOCK basata su CRISPR per rilevare il SARS-CoV-2, che individua, in meno di un’ora e senza richiedere strumenti complessi , frammenti sintetici dell’RNA del SARS-CoV-2 tra 20 × 10-18 mol/L e 200 × 10-18 mol/L (10-100 copie per microlitro di campione) utilizzando una striscia reattiva.","Il 14 febbraio 2020, il gruppo Feng Zhang ha descritto un protocollo di utilizzo della tecnica SHERLOCK basata su CRISPR per rilevare SARS-CoV-2, che rileva frammenti sintetici di RNA SARS-CoV-2 da 20 × 10-18 mol/L a 200 × 10-18 mol/L (10-100 copie per microlitro di input) utilizzando un astina di livello in meno di un'ora senza richiedere una strumentazione elaborata.","Il 14 febbraio 2020, il gruppo di Feng Zhang ha descritto un protocollo che utilizza la tecnica CRISPR-based SHERLOCK per rilevare il SARS-CoV-2, che rileva frammenti di RNA sintetico del SARS-CoV-2 a concentrazioni di 20 × 10-18 mol/L a 200 × 10-18 mol/L (10-100 copie per microlitro di ingresso) usando un dipstick in meno di un'ora senza richiedere strumentazione elaborata.",59.704,52.399,7.305,76.126,70.242,5.884,0.785,0.804,-0.019
"These therapies include current and potential treatments with antiviral drugs, immunosuppressants, steroids, plasma from recovered patients, Chinese medicine, and psychological support.","Queste terapie includono trattamenti attuali e potenziali con farmaci antivirali, immunosoppressori, steroidi, plasma di pazienti guariti, medicina cinese e supporto psicologico.","Queste terapie includono trattamenti attuali e potenziali con farmaci antivirali, immunosoppressori, steroidi, plasma di pazienti guariti, medicina cinese e supporto psicologico.","Queste terapie includono trattamenti attuali e potenziali con farmaci antivirali, immunosoppressori, steroidi, plasma di pazienti guariti, medicina cinese e sostegno psicologico.",100.0,90.577,9.423,100.0,94.732,5.268,0.958,0.952,0.006
"SARS-CoV-2 mainly attacks the lungs in the beginning and probably also attacks, to a lesser degree, other organs that express ACE2, such as the gastrointestinal system and the kidneys.","Il SARS-CoV-2 all’inizio colpisce principalmente i polmoni e, probabilmente, attacca anche, in misura minore, altri organi che esprimono ACE2, come l’apparato gastrointestinale e i reni.","Il SARS-CoV-2 attacca principalmente i polmoni all'inizio e probabilmente attacca anche, in misura minore, altri organi che esprimono ACE2, come il sistema gastrointestinale e i reni.","Il SARS-CoV-2 attacca principalmente i polmoni all'inizio e probabilmente attacca, in misura minore, altri organi che esprimono ACE2, come l'apparato gastrointestinale e i reni.",61.593,55.055,6.538,79.622,79.52,0.102,0.917,0.908,0.009
"Patients with severe respiratory symptoms have to be supported by extracorporeal membrane oxygenation (ECMO), a modified cardiopulmonary bypass technique used for the treatment of life-threatening cardiac or respiratory failure.","I pazienti con sintomi respiratori gravi devono essere supportati con ossigenazione extra-corporea a membrana (ECMO), una tecnica di bypass cardiopolmonare modificato utilizzata per il trattamento di insufficienza cardiaca o respiratoria potenzialmente letale.","I pazienti con sintomi respiratori gravi devono essere supportati dall'ossigenazione extracorporea a membrana (ECMO), una tecnica di bypass cardiopolmonare modificata utilizzata per il trattamento dell'insufficienza cardiaca o respiratoria pericolosa per la vita.","I pazienti con sintomi respiratori gravi devono essere supportati dall'ossigenazione con membrana esterna (ECMO), una tecnica di bypass cardiopolmonare modificata utilizzata per il trattamento di insufficienza cardiaca o respiratoria potenzialmente letale.",60.026,74.563,-14.537,85.387,88.903,-3.516,0.892,0.896,-0.004
"Cytokine storm is a form of systemic inflammatory response featured by the release of a series of cytokines including TNFα, IL-1β, IL-2, IL-6, IFNα, IFNβ, IFNγ, and MCP-1.","La tempesta di citochine è una forma di risposta infiammatoria sistemica caratterizzata dal rilascio di una serie di citochine, tra cui TNFα, Il-1β, IL-2, IL-6, IFNα, IFNβ, IFNγ, e MCP-1.","La tempesta di citochine è una forma di risposta infiammatoria sistemica caratterizzata dal rilascio di una serie di citochine tra cui il TNFα, IL-1β, IL-2, IL-6, IFNα, IFNβ, IFNγ e MCP-1.","La tempesta di citochine è una forma di risposta infiammatoria sistemica caratterizzata dalla rilascio di una serie di citochine, tra cui TNFα, IL-1β, IL-2, IL-6, IFNα, IFNβ, IFNγ e MCP-1.",76.309,79.193,-2.884,91.696,93.899,-2.203,0.95,0.953,-0.003
"Corticosteroids and tocilizumab, an anti-IL6 monoclonal antibody, have been used to treat cytokine storm.","I corticosteroidi e il tocilizumab, un anticorpo monoclonale inibitore dell’IL6, sono stati usati per trattare le tempeste di citochine.","Corticosteroidi e tocilizumab, un anticorpo monoclonale anti-IL6, sono stati usati per trattare la tempesta di citochine.","I corticosteroidi e il tocilizumab, un anticorpo monoclonale anti-IL6, sono stati utilizzati per trattare la tempesta di citochine.",44.072,51.191,-7.119,76.078,77.647,-1.569,0.877,0.888,-0.011
"However, steroids at high dosages were not beneficial to severe lung injury in SARS and COVID-19 patients.","Tuttavia, gli steroidi in alte dosi non sono stati benefici per i danni polmonari nei pazienti SARS e COVID-19.","Tuttavia, gli steroidi a dosaggi elevati non erano utili per gravi lesioni polmonari nei pazienti affetti da SARS e COVID-19.","Tuttavia, i farmaci cortisonici ad alte dosi non sono stati benefici per i pazienti con gravi lesioni polmonari nella SARS e nel COVID-19.",27.743,35.46,-7.717,62.017,69.607,-7.59,0.877,0.873,0.004
"At the time of writing, no effective antiviral therapy has been confirmed.","Al momento della stesura di questa analisi, non è stata confermata alcuna terapia antivirale efficace.","Al momento della stesura di questo documento, non è stata confermata alcuna terapia antivirale efficace.","Al momento della stesura, non è stata confermata alcuna terapia antivirale efficace.",76.247,69.803,6.444,87.455,80.903,6.552,0.968,0.959,0.009
"Later, remdesivir also demonstrated possible inhibition of other single stranded RNA viruses including MERS and SARS viruses.","In seguito il remdesivir si è rivelato anche un possibile inibitore di altri virus a filamento singolo di RNA, compresi i virus della SARS e della MERS.","Successivamente, il remdesivir ha anche dimostrato una possibile inibizione di altri virus a RNA a singolo filamento, inclusi i virus MERS e SARS.","Successivamente, il remdesivir ha anche dimostrato una possibile inibizione di altri virus a RNA a singola elica, tra cui i virus MERS e SARS.",13.335,12.964,0.371,51.175,47.08,4.095,0.898,0.884,0.014
"Diarrhea, nausea, vomiting, liver damage, and other adverse reactions can occur following combined therapy with lopinavir/ritonavir.","A seguito di terapie combinate con il lopinavir/ritonavir  possono presentarsi diarrea, nausea, vomito, danni al fegato e altre reazioni avverse.","Diarrea, nausea, vomito, danni al fegato e altre reazioni avverse possono verificarsi in seguito alla terapia combinata con lopinavir/ritonavir.","La diarrea, la nausea, il vomito, i danni al fegato e altre reazioni avverse possono verificarsi in seguito a una terapia combinata con lopinavir/ritonavir.",51.184,30.3,20.884,74.283,68.861,5.422,0.934,0.923,0.011
The collection of the blood from patients who recovered from a contagious disease to treat other patients suffering from the same disease or to protect healthy individuals from catching the disease has a long history.,La raccolta del sangue di pazienti guariti da una malattia contagiosa per curare altri pazienti affetti dalla stessa malattia o per proteggere altri individui sani dal contrarre la malattia ha una lunga storia.,La raccolta del sangue da pazienti guariti da una malattia contagiosa per curare altri pazienti affetti dalla stessa malattia o per proteggere individui sani dal contrarre la malattia ha una lunga storia.,La raccolta del sangue dai pazienti guariti da una malattia contagiosa per trattare altri pazienti affetti dalla stessa malattia o per proteggere le persone sane dal contrarre la malattia ha una lunga storia.,84.113,69.443,14.67,94.344,85.142,9.202,0.947,0.937,0.01
"Based on this, plasma was collected from the blood of a group of patients who recovered from COVID-19 and was injected into 10 seriously ill patients.","Sulla base di ciò, è stato raccolto il plasma dal sangue di un gruppo di pazienti guariti dal COVID-19 ed è stato iniettato a 10 pazienti gravemente ammalati.","Sulla base di ciò, il plasma è stato raccolto dal sangue di un gruppo di pazienti guariti da COVID-19 ed è stato iniettato in 10 pazienti gravemente malati.","Sulla base di ciò, il plasma è stato prelevato dal sangue di un gruppo di pazienti guariti da COVID-19 e iniettato in 10 pazienti gravemente malati.",56.713,43.838,12.875,85.629,73.99,11.639,0.925,0.914,0.011
"In addition, given the therapeutic effects, some disadvantages associated with the plasma should be considered carefully.","Inoltre, visti gli effetti terapeutici, bisogna considerare attentamente alcuni svantaggi associati al plasma.","Inoltre, dati gli effetti terapeutici, alcuni svantaggi associati al plasma devono essere considerati con attenzione.","Inoltre, vista l'efficacia terapeutica, alcuni svantaggi associati al plasma dovrebbero essere considerati con attenzione.",37.42,26.221,11.199,70.606,62.714,7.892,0.941,0.926,0.015
It is difficult to develop and produce specific antibodies rapidly enough to fight against a global epidemic.,È difficile sviluppare e produrre anticorpi specifici abbastanza rapidamente da combattere un’epidemia globale.,È difficile sviluppare e produrre anticorpi specifici abbastanza rapidamente da combattere un'epidemia globale.,È difficile sviluppare e produrre anticorpi specifici sufficientemente in fretta per combattere una pandemia globale.,80.911,42.312,38.599,96.341,71.561,24.78,0.977,0.957,0.02
TCM has been used to treat a variety of diseases in China for thousands of years.,La MTC viene utilizzata per curare una gamma di malattie in Cina da migliaia di anni.,La MTC è stata usata per trattare una varietà di malattie in Cina per migliaia di anni.,La medicina tradizionale cinese (TCM) è stata utilizzata per curare una varietà di malattie in Cina per migliaia di anni.,30.929,31.551,-0.622,55.008,69.254,-14.246,0.949,0.917,0.032
"Currently, due to the lack of effective and specific therapy for COVID-19, TCM has become one of the major alternative treatments for patients with light to moderate symptoms or for those who have recovered from severe stages.","Attualmente, per via della mancanza di una terapia efficace e specifica per il COVID-19, la MTC è diventata una delle principali cure alternative per i pazienti con sintomi da lievi a moderati o per coloro che sono guariti da stadi gravi.","Attualmente, a causa della mancanza di una terapia efficace e specifica per il COVID-19, la MTC è diventata uno dei principali trattamenti alternativi per i pazienti con sintomi da lievi a moderati o per coloro che si sono ripresi da stadi gravi.","Attualmente, a causa della mancanza di una terapia efficace e specifica per la COVID-19, la medicina tradizionale cinese (TCM) è diventata una delle principali terapie alternative per pazienti con sintomi lievi o moderati o per coloro che si sono ripresi da stadi severi.",67.521,40.1,27.421,82.803,76.267,6.536,0.899,0.856,0.043
"However, this is quite a rough comparison as many other impact factors such as the number and severity of the patients should be included in the evaluation.","Tuttavia, questo è un confronto piuttosto approssimativo, poiché molti fattori d’impatto come il numero e la gravità dei pazienti dovrebbero essere inclusi nella valutazione.","Tuttavia, questo è un confronto piuttosto approssimativo poiché molti altri fattori di impatto come il numero e la gravità dei pazienti dovrebbero essere inclusi nella valutazione.","Tuttavia, questo è un confronto piuttosto grezzo, poiché molti altri fattori di impatto come il numero e la gravità dei pazienti dovrebbero essere inclusi nella valutazione.",74.478,70.617,3.861,93.621,86.77,6.851,0.96,0.948,0.012
"Most impressively, the rate for symptomatic worsening (from light to severe) was remarkably lower for the WM+TCM group than for the WM only group (7.4% versus 46.2%) and the mortality was lower in the WM+TCM group than WM only group (8.8% versus 39%).","L’aspetto più impressionante è che il tasso di peggioramento sintomatico (da lieve a grave) era considerevolmente più basso per il gruppo MO+MTC che per il gruppo con solo MO (7,4% contro 46,2%) e la mortalità era più bassa nel gruppo MO+MTC che nel gruppo con solo MO (8,8% contro 39%).","Soprattutto, il tasso di peggioramento sintomatico (da lieve a grave) era notevolmente inferiore per il gruppo WM+TCM rispetto al gruppo solo WM (7,4% contro 46,2%) e la mortalità era inferiore nel gruppo WM+TCM rispetto al gruppo solo WM (8,8% contro 39%).","In modo particolarmente impressionante, il tasso di peggioramento dei sintomi (da lievi a gravi) era notevolmente più basso nel gruppo WM+TCM rispetto al gruppo WM solo (7,4% contro 46,2%) e la mortalità era inferiore nel gruppo WM+TCM rispetto al gruppo WM solo (8,8% contro 39%).",46.009,34.987,11.022,60.363,59.78,0.583,0.898,0.896,0.002
"Patients with suspected or confirmed COVID-19 mostly experience great fear of the highly contagious and even fatal disease, and quarantined people also experience boredom, loneliness, and anger.","I pazienti con COVID-19 sospetto o confermato manifestano per lo più una grande paura di questa malattia altamente contagiosa e perfino letale, e le persone in quarantena provano anche noia, solitudine e rabbia.","I pazienti con COVID-19 sospettato o confermato sperimentano per lo più una grande paura della malattia altamente contagiosa e persino fatale, e le persone in quarantena sperimentano anche noia, solitudine e rabbia.","I pazienti con sospetto o conferma di COVID-19 sperimentano in genere una grande paura della malattia altamente contagiosa e persino fatale, e le persone in quarantena sperimentano anche noia, solitudine e rabbia.",55.748,44.114,11.634,81.899,74.842,7.057,0.92,0.918,0.002
"Mandatory contact tracing and quarantine, as a part of the public health responses to the COVID-19 outbreak, can make people more anxious and guilty about the effects of the contagion, quarantine, and stigma on their families and friends.","Il tracciamento dei contatti e la quarantena obbligatori, in quanto parte delle risposte della sanità pubblica all’epidemia di COVID-19, possono far sentire le persone più in ansia e più in colpa per gli effetti del contagio, la quarantena e lo stigma sulle loro famiglie e i loro amici.","Il tracciamento obbligatorio dei contatti e la quarantena, come parte delle risposte di salute pubblica all'epidemia di COVID-19, possono rendere le persone più ansiose e colpevoli degli effetti del contagio, della quarantena e dello stigma sulle loro famiglie e amici.","La ricerca dei contatti obbligatoria e la quarantena, come parte delle risposte di salute pubblica all'epidemia di COVID-19, possono rendere le persone più ansiose e colpevoli riguardo agli effetti della contagione, della quarantena e dello stigma sulle loro famiglie e amici.",29.55,20.392,9.158,71.822,65.69,6.132,0.894,0.826,0.068
Effective vaccines are essential for interrupting the chain of transmission from animal reservoirs and infected humans to susceptible hosts and are often complementary to antiviral treatment in the control of epidemics caused by emerging viruses.,Dei vaccini efficaci sono essenziali per interrompere la catena di trasmissione da serbatoi animali ed esseri umani infetti a ospiti suscettibili e sono spesso complementari ai trattamenti antivirali nel controllo delle epidemie causate da virus emergenti.,Vaccini efficaci sono essenziali per interrompere la catena di trasmissione dai serbatoi animali e dagli esseri umani infetti agli ospiti sensibili e sono spesso complementari al trattamento antivirale nel controllo delle epidemie causate da virus emergenti.,I vaccini efficaci sono essenziali per interrompere la catena di trasmissione dai serbatoi animali e dagli esseri umani infetti agli ospiti suscettibili e sono spesso complementari al trattamento antivirale nel controllo delle epidemie causate da virus emergenti.,54.135,60.669,-6.534,86.443,90.556,-4.113,0.888,0.911,-0.023
"However, the in vivo efficacy of these vaccine candidates in elderly individuals and lethal-challenge models and their protection against zoonotic virus infection have yet to be determined before a clinical study is initiated.","Tuttavia, prima di avviare uno studio clinico bisogna ancora determinare l’efficacia in vivo di questi vaccini candidati in individui anziani e nei modelli di esposizione letale e la loro protezione contro un’infezione da virus di origine zoonotica.","Tuttavia, l'efficacia in vivo di questi vaccini candidati in individui anziani e modelli di sfida letale e la loro protezione contro l'infezione da virus zoonotico devono ancora essere determinate prima dell'avvio di uno studio clinico.","Tuttavia, l'efficacia in vivo di questi candidati vaccini negli individui anziani e nei modelli di sfida letale e la loro protezione contro l'infezione da virus zoonotico devono ancora essere determinate prima che sia avviato uno studio clinico.",43.68,36.914,6.766,70.719,70.255,0.464,0.85,0.884,-0.034
